species,wlcent,gflog,excit,j_lo,e_upp,j_up,lande_lower,lande_upper,lande,gamrad,gamqst,gamvw,depth,reference,term_lower,term_upper,error,atom_number,ionization
Nb 1,4730.308,-1.22,1.3945593750402947,5.5,4.014886038685054,5.5,1.12,0.99,1.06,0.0,0.0,0.0,0.035,_          Cu 1 - Ba 2 Bell  17 wl:CB  17 gf:CB  17 CB  17 CB  17 CB  17 CB  17 CB  17 CB  17 CB    Nb,4d4.(a3H).5s a4H,4d4.(a3H).5p z4I*,0.5,1.0,1.0
TiO 1,4730.3246,0.441,0.658419878435974,78.0,3.2786477886674477,79.0,99.0,99.0,99.0,7.284,0.0,0.0,0.027999999999999997,_          -0.161818          6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,78,2","8s2.11s1.3p4.1d1 C,3,2,0,79,5",0.5,1.0,1.0
TiO 1,4730.3366,-0.764,0.5928362798591142,82.0,3.2131225122570775,81.0,99.0,99.0,99.0,7.284,0.0,0.0,0.002,_          -0.0444596         8 wl:PPN2012   8 gf:PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012    (49)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,83,1","8s2.11s1.3p4.1d1 C,3,2,0,82,4",0.5,1.0,1.0
TiO 1,4730.3412,0.474,0.8010001557241521,102.0,3.4189687639172264,103.0,99.0,99.0,99.0,7.257999999999999,0.0,0.0,0.018000000000000002,_          -4.22770           6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,101,1","8s2.11s1.3p4.1d1 C,3,2,0,102,4",0.5,1.0,1.0
TiO 1,4730.3737,-0.7709999999999999,0.5803968089443192,84.0,3.1999431160502008,83.0,99.0,99.0,99.0,7.2829999999999995,0.0,0.0,0.002,_          -1.34368           4 wl:PPN2012   4 gf:PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012    (50)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,83,1","8s2.11s1.3p4.1d1 C,3,2,0,82,4",0.5,1.0,1.0
TiO 1,4730.3756,0.429,1.0883757623788302,94.0,3.708665032389632,93.0,99.0,99.0,99.0,7.257999999999999,0.0,0.0,0.005,_                             6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,95,4","8s2.11s1.3p4.1d1 C,3,2,0,94,8",0.5,1.0,1.0
TiO 1,4730.3791,-1.195,0.42657094177404525,27.0,3.0465816068947116,26.0,99.0,99.0,99.0,7.315,0.0,0.0,0.001,_          -0.499560          4 wl:PPN2012   4 gf:PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012   4 PPN2012    (50)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,27,3","8s2.11s1.3p4.1d1 C,3,2,0,26,6",0.5,1.0,1.0
V 1,4730.3876,-1.021,1.9451830288198786,2.5,4.565465619306026,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.3905,-2.5639999999999996,5.373414124701322,2.0,7.993695130917394,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
Mn 2,4730.3908,-2.7319999999999998,5.373404308500456,2.0,7.993685147585829,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
